Code;NOM;Code postal;Commune;Zone;Produits;Statut;Type estimé;Note
ARTIS;Artisanat Océan Indien;97400;Saint-Denis;Nord;Thé;Actif (vérifié);Revendeur (stand marché
ASSO116;Association Place au Vrac;97424;Saint-Leu;Ouest;Thé;Actif (vérifié);Revendeur (épicerie collaborative en vrac);Épicerie collaborative Le Comptoir du Vrac
ASSOC86;EI Bertrand Bannerot;97413;Cilaos;Centre;Thé;À vérifier;Revendeur (par défaut
ATELI03;Atelier Alexandra;97440;Saint-André;Nord;Thé;À vérifier;Revendeur (par défaut
ATELI05;Atelier de Flo;97410;Saint-Pierre;Sud;Thé;À vérifier;Revendeur (par défaut
BARIL;Le Baril de Poudre;97442;Saint-Philippe;Sud;Thé;À vérifier;Revendeur (par défaut
BITAS;Bitasyon Bio;97442;Saint-Philippe;Sud;Thé;À vérifier;Revendeur (par défaut
BOYER;Boyer Patricia;97410;Saint-Pierre;Sud;Thé;À vérifier;Revendeur (par défaut
CASEA;La Case à Chocolat;97400;Saint-Denis;Nord;Thé;À vérifier;Transformateur probable (chocolaterie -> intègre le thé dans ses produits);
CASEV;La Case Volcan;97442;Saint-Philippe;Sud;Thé;À vérifier;Revendeur (par défaut
CAZAN;La Cazanou;97433;Salazie;Centre;Thé;À vérifier;Revendeur (par défaut
CORAI;Corail Hélicoptères SAS;97434;Saint-Paul;Ouest;Thé;Actif (vérifié);Revendeur (par défaut
CURPA;Cœur du Palmier;97434;Saint-Paul;Ouest;Thé;À vérifier;Revendeur (par défaut
DOMAI;Domaine des Tourelles;97431;La Plaine-des-Palmistes;Centre;Thé;À vérifier;Revendeur (par défaut
DOMAI05;Domaine de Bellevue;97450;Saint-Louis;Sud;Thé;À vérifier;Revendeur (par défaut
DOMIT;Domitile Artisanat;97430;Le Tampon;Sud;Thé;À vérifier;Revendeur (boutique souvenirs/artisanat);
DOMIT01;Domitile Marie-Line;97480;Saint-Joseph;Sud;Thé;Actif (vérifié);Revendeur (par défaut
FEELO;La Fée Lokale;97460;Saint-Paul;Ouest;Thé;À vérifier;Revendeur (par défaut
GALER;La Galerie Artisanale;97490;Sainte-Clotilde;Nord;Thé;À vérifier;Revendeur (galerie artisanale multi-produits);
JARDI;Le Jardin des Parfums & des Épices;97442;Saint-Philippe;Sud;Thé;À vérifier;Revendeur (par défaut
JARDI02;Les Jardineries de Bourbon;97432;Ravine des Cabris;Sud;Thé;À vérifier;Revendeur (par défaut
JARDI03;Les Jardins d'Héva;97433;Salazie;Centre;Thé;À vérifier;Revendeur (par défaut
JARDI05;Jardin d'Eden;97434;Saint-Paul;Ouest;Thé;À vérifier;Revendeur (par défaut
KARIN;Karine Artisanat;97400;Saint-Denis;Nord;Thé;À vérifier;Revendeur (par défaut
KAZAK;La Kaz à Kam;97427;L'Étang-Salé;Sud;Thé;À vérifier;Revendeur (par défaut
LETAL;L'Étal Saint-Joseph;97480;Saint-Joseph;Sud;Thé;À vérifier;Revendeur (par défaut
LIQUO;Liquoristerie Mamzel (Rhum Mamzel);97434;Saint-Leu;Ouest;Thé;À vérifier;Transformateur probable (liquoriste -> thé possiblement utilisé en infusion/arôme);Orthographe corrigée (Saint Gille -> Saint-Leu)
NANAS;Nanas Vanille;97410;Saint-Pierre;Sud;Thé;Actif (vérifié);Revendeur (concept store multi-artisans);
NANAS;Nanas Vanille;97400;Saint-Denis;Nord;Thé;Actif (vérifié);Revendeur (concept store multi-artisans);
NATHA;Nathalie Leichnig;97442;Saint-Philippe;Sud;Thé;À vérifier;Revendeur (par défaut
NATUR07;Natur'Run;97431;La Plaine-des-Palmistes;Centre;Thé;À vérifier;Revendeur (par défaut
OFFIC;Office du Tourisme;97400;Saint-Denis;Nord;Thé;À vérifier;Revendeur (boutique office de tourisme);
OFFIC04;O.T.I. de l'Est;97412;Bras-Panon;Est;Thé;Actif (vérifié);Revendeur (boutique office de tourisme);Bureau d'information Saint-Benoît
OTHE;SARL O'Thé;97424;Piton Saint-Leu;Ouest;Thé;Actif (vérifié);Revendeur (épicerie fine thé/café/épices - probablement gamme propre 'O'Thé'
OTISU01;OTI Sud;97480;Saint-Joseph (Manapany-les-Bains);Sud;Thé;Actif (vérifié);Revendeur (boutique office de tourisme);Bureau info touristique OTI Sud
PASST;Pass'Temps;97413;Cilaos;Centre;Thé;À vérifier;Revendeur (par défaut
PETIT04;Petits Plaisirs;97421;Saint-Louis;Sud;Thé;À vérifier;Revendeur (par défaut
PROVA;SAS Provanille;97439;Sainte-Rose;Est;Thé;Actif (vérifié);Transformateur (même groupe que SCA Provanille);Boutique 'Vanille des Laves'
RHUMS;Les Rhums en Thé;97490;Saint-Denis;Nord;Thé;À vérifier;Transformateur probable (nom évoque un rhum arrangé au thé);
SABAG;Sabaguina;97436;Saint-Leu;Ouest;Thé;À vérifier;Revendeur (par défaut
SAGAR;Saga du Rhum;97453;Saint-Pierre;Sud;Thé;À vérifier;Transformateur probable (rhum arrangé -> thé comme ingrédient d'arôme);Espace en trop supprimé
SCAPR;SCA Provanille;97412;Bras-Panon;Est;Thé;Actif (vérifié);Transformateur (coopérative
SODIS;Sodisbio Saint-Paul;97460;Saint-Paul;Ouest;Thé;Actif (vérifié);Revendeur (magasin bio);Siège social
SODIS01;Sodisbio OI Saint-Pierre;97410;Saint-Pierre;Sud;Thé;⚠ À vérifier en priorité;Revendeur (magasin bio);SODISBIO OI a un établissement secondaire à Saint-Pierre listé FERMÉ (3 rue de la Poudrière) - vérifier s'il s'agit du même point de vente
SODIS02;Sodisbio OI Sainte-Clotilde;97490;Sainte-Clotilde;Sud;Thé;Actif (probable);Revendeur (magasin bio);Établissement secondaire du groupe SODISBIO OI
SODIS03;Sodisbio Est Saint-André;97440;Saint-André;Nord;Thé;À vérifier;Revendeur (magasin bio);Possible entité distincte 'SODISBIO EST' liée au groupe
SODIS04;Sodisbio Saint-Leu;97424;Saint-Leu;Ouest;Thé;Actif (probable);Revendeur (magasin bio);Établissement du groupe SODISBIO OI
SPLMA;SPL RMR Domaine de Maison Rouge;97450;Saint-Louis;Sud;Thé;À vérifier;Revendeur (par défaut
SPLRM;SPL RMR Kelonia;97436;Saint-Leu;Ouest;Thé;À vérifier;Revendeur (par défaut
SPLRM01;SPL RMR Boutique de Stella (Piton Saint-Leu);97424;Saint-Leu;Ouest;Thé;À vérifier;Revendeur (par défaut
TIKAZ;Ti Kaz Koulèr;97436;Saint-Leu;Ouest;Thé;À vérifier;Revendeur (par défaut
TRESO01;Trésor des Engagés;97421;Saint-Louis;Sud;Thé;À vérifier;Revendeur (par défaut
